Experiment	Point	PAR	Site	Condition
1	1	9.76	mid	homo_light
1	1	6.1	mid	homo_light
1	1	6.71	mid	homo_light
1	1	9.76	mid	homo_light
1	1	6.71	mid	homo_light
1	1	7.93	mid	homo_light
1	1	8.54	mid	homo_light
1	1	10.37	mid	homo_light
1	1	7.32	mid	homo_light
1	1	9.76	mid	homo_light
1	1	12.2	mid	homo_light
1	1	12.81	mid	homo_light
1	1	8.54	mid	homo_light
1	1	10.37	mid	homo_light
1	1	11.59	mid	homo_light
1	1	10.37	mid	homo_light
1	1	10.37	mid	homo_light
1	2	5.49	W	homo_light
1	2	4.27	W	homo_light
1	2	7.32	W	homo_light
1	2	2.44	W	homo_light
1	2	6.71	W	homo_light
1	2	4.88	W	homo_light
1	2	5.49	W	homo_light
1	2	4.27	W	homo_light
1	2	5.49	W	homo_light
1	2	5.49	W	homo_light
1	2	5.49	W	homo_light
1	2	4.88	W	homo_light
1	2	7.32	W	homo_light
1	2	3.66	W	homo_light
1	2	4.27	W	homo_light
1	2	4.27	W	homo_light
1	3	6.71	E	homo_light
1	3	6.1	E	homo_light
1	3	9.76	E	homo_light
1	3	7.93	E	homo_light
1	3	7.32	E	homo_light
1	3	6.71	E	homo_light
1	3	6.1	E	homo_light
1	3	6.71	E	homo_light
1	3	7.32	E	homo_light
1	3	8.54	E	homo_light
1	3	7.32	E	homo_light
1	3	8.54	E	homo_light
1	4	8.54	N	homo_light
1	4	10.98	N	homo_light
1	4	7.32	N	homo_light
1	4	7.32	N	homo_light
1	4	7.32	N	homo_light
1	4	5.49	N	homo_light
1	4	9.15	N	homo_light
1	4	7.93	N	homo_light
1	4	7.93	N	homo_light
1	4	4.27	N	homo_light
1	4	6.71	N	homo_light
1	5	10.37	mid	homo_light
1	5	13.42	mid	homo_light
1	5	9.76	mid	homo_light
1	5	8.54	mid	homo_light
1	5	7.32	mid	homo_light
1	5	9.76	mid	homo_light
1	5	11.59	mid	homo_light
1	5	9.76	mid	homo_light
1	5	10.37	mid	homo_light
1	5	5.49	mid	homo_light
1	5	9.76	mid	homo_light
1	5	7.32	mid	homo_light
1	5	7.32	mid	homo_light
1	5	8.54	mid	homo_light
1	6	6.71	S	homo_light
1	6	4.88	S	homo_light
1	6	10.37	S	homo_light
1	6	4.88	S	homo_light
1	6	8.54	S	homo_light
1	6	8.54	S	homo_light
1	6	6.1	S	homo_light
1	6	6.71	S	homo_light
1	6	8.54	S	homo_light
1	6	7.32	S	homo_light
1	6	5.49	S	homo_light
1	6	6.71	S	homo_light
1	6	10.98	S	homo_light
1	6	8.54	S	homo_light
1	6	7.32	S	homo_light
1	6	8.54	S	homo_light
1	6	9.76	S	homo_light
1	6	8.54	S	homo_light
1	6	7.32	S	homo_light
2	1	7.93	N	shadow
2	1	8.54	N	shadow
2	1	10.98	N	shadow
2	1	6.1	N	shadow
2	1	7.93	N	shadow
2	1	6.71	N	shadow
2	1	9.76	N	shadow
2	1	6.71	N	shadow
2	1	9.15	N	shadow
2	1	7.93	N	shadow
2	2	10.37	Nmid	shadow
2	2	10.37	Nmid	shadow
2	2	9.15	Nmid	shadow
2	2	9.15	Nmid	shadow
2	2	6.71	Nmid	shadow
2	2	8.54	Nmid	shadow
2	2	10.37	Nmid	shadow
2	2	8.54	Nmid	shadow
2	3	9.15	mid	mid
2	3	13.42	mid	mid
2	3	9.76	mid	mid
2	3	8.54	mid	mid
2	3	10.37	mid	mid
2	3	7.93	mid	mid
2	3	10.37	mid	mid
2	3	7.32	mid	mid
2	3	12.2	mid	mid
2	3	10.37	mid	mid
2	3	8.54	mid	mid
2	3	12.2	mid	mid
2	3	12.2	mid	mid
2	3	8.54	mid	mid
2	3	9.76	mid	mid
2	3	6.71	mid	mid
2	3	6.1	mid	mid
2	4	6.71	Smid	light
2	4	10.98	Smid	light
2	4	9.15	Smid	light
2	4	10.98	Smid	light
2	4	12.81	Smid	light
2	4	9.76	Smid	light
2	4	10.37	Smid	light
2	4	9.15	Smid	light
2	4	9.76	Smid	light
2	5	9.15	S	light
2	5	7.32	S	light
2	5	5.49	S	light
2	5	9.15	S	light
2	5	5.49	S	light
2	5	14.64	S	light
2	5	10.37	S	light
2	5	9.76	S	light
2	5	6.1	S	light
2	5	8.54	S	light
2	5	7.93	S	light
2	6	6.71	W	shadow
2	6	4.27	W	shadow
2	6	3.05	W	shadow
2	6	4.27	W	shadow
2	6	6.71	W	shadow
2	6	4.88	W	shadow
2	6	3.66	W	shadow
2	6	3.66	W	shadow
2	7	9.15	E	shadow
2	7	6.1	E	shadow
2	7	10.98	E	shadow
2	7	6.71	E	shadow
2	7	8.54	E	shadow
2	7	7.32	E	shadow
2	7	7.32	E	shadow
2	7	8.54	E	shadow
2	7	6.1	E	shadow
2	7	6.71	E	shadow
2	7	5.49	E	shadow
2	8	9.15	NW	shadow
2	8	7.32	NW	shadow
2	8	8.54	NW	shadow
2	8	10.37	NW	shadow
2	8	6.71	NW	shadow
2	8	7.32	NW	shadow
2	8	7.93	NW	shadow
2	9	9.76	NE	shadow
2	9	6.71	NE	shadow
2	9	6.71	NE	shadow
2	9	6.71	NE	shadow
2	9	7.93	NE	shadow
2	9	6.1	NE	shadow
2	9	8.54	NE	shadow
2	9	8.54	NE	shadow
2	9	9.76	NE	shadow
2	9	6.1	NE	shadow
2	9	6.1	NE	shadow
2	10	6.71	SE	light
2	10	7.93	SE	light
2	10	10.98	SE	light
2	10	6.71	SE	light
2	10	9.76	SE	light
2	10	7.93	SE	light
2	10	13.42	SE	light
2	10	10.37	SE	light
2	10	7.32	SE	light
2	10	9.15	SE	light
2	10	10.37	SE	light
